id,url,bookTitle,bookImage,bookAuthors
1,https://www.goodreads.com/book/show/2767052-the-hunger-games,The Hunger Games,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1586722975l/2767052.jpg,Suzanne Collins
2,https://www.goodreads.com/book/show/2.Harry_Potter_and_the_Order_of_the_Phoenix,Harry Potter and the Order of the Phoenix,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546910265l/2.jpg,"J.K. Rowling,Mary GrandPré"
3,https://www.goodreads.com/book/show/2657.To_Kill_a_Mockingbird,To Kill a Mockingbird,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1553383690l/2657.jpg,Harper Lee
4,https://www.goodreads.com/book/show/1885.Pride_and_Prejudice,Pride and Prejudice,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320399351l/1885.jpg,"Jane Austen,Anna Quindlen"
5,https://www.goodreads.com/book/show/41865.Twilight,Twilight,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1361039443l/41865.jpg,Stephenie Meyer
6,https://www.goodreads.com/book/show/19063.The_Book_Thief,The Book Thief,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1522157426l/19063._SY475_.jpg,Markus Zusak
7,https://www.goodreads.com/book/show/7613.Animal_Farm,Animal Farm,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1424037542l/7613.jpg,"George Orwell,Boris Grabnar,Celâl Üster,Celâl Üstüner,Peter Škerl"
8,https://www.goodreads.com/book/show/11127.The_Chronicles_of_Narnia,The Chronicles of Narnia,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1449868701l/11127._SY475_.jpg,"C.S. Lewis,Pauline Baynes"
9,https://www.goodreads.com/book/show/30.J_R_R_Tolkien_4_Book_Boxed_Set,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1346072396l/30.jpg,J.R.R. Tolkien
10,https://www.goodreads.com/book/show/18405.Gone_with_the_Wind,Gone with the Wind,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1551144577l/18405._SY475_.jpg,Margaret Mitchell
11,https://www.goodreads.com/book/show/11870085-the-fault-in-our-stars,The Fault in Our Stars,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1360206420l/11870085.jpg,"John Green,John Green"
12,https://www.goodreads.com/book/show/370493.The_Giving_Tree,The Giving Tree,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1174210942l/370493._SX318_.jpg,Shel Silverstein
13,https://www.goodreads.com/book/show/6185.Wuthering_Heights,Wuthering Heights,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388212715l/6185._SY475_.jpg,"Emily Brontë,Richard J. Dunn,Charlotte Brontë,Robert Heindel"
14,https://www.goodreads.com/book/show/968.The_Da_Vinci_Code,The Da Vinci Code,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1579621267l/968.jpg,Dan Brown
15,https://www.goodreads.com/book/show/930.Memoirs_of_a_Geisha,Memoirs of a Geisha,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388367666l/930.jpg,Arthur Golden
